               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.025765,            0.021892,           0.0063315,             0.77831,             0.72476,             0.76874,             0.51851,            0.031082,            0.019701,           0.0089524,           0.0094879,           0.0094879,           0.0094879
                  48,            0.025343,            0.022179,           0.0063579,             0.80052,             0.70746,             0.76973,             0.51821,            0.030921,            0.019936,           0.0088516,           0.0094659,           0.0094659,           0.0094659
                  49,            0.025565,            0.022379,           0.0066298,              0.7631,             0.74296,              0.7694,             0.52212,            0.031251,            0.020109,           0.0088308,           0.0094434,           0.0094434,           0.0094434
                  50,            0.025261,            0.021987,           0.0061818,             0.80128,             0.70687,             0.77172,             0.52502,            0.030863,            0.019841,           0.0089409,           0.0094205,           0.0094205,           0.0094205
                  51,            0.025208,            0.021558,           0.0063818,             0.80677,              0.7115,             0.77078,             0.52487,            0.031082,            0.020313,           0.0090533,           0.0093971,           0.0093971,           0.0093971
                  52,            0.025506,            0.021947,            0.006628,              0.7683,             0.71892,              0.7588,             0.51217,            0.031139,                0.02,           0.0092261,           0.0093733,           0.0093733,           0.0093733
                  53,             0.02523,            0.022054,           0.0066708,             0.77658,             0.72093,             0.76651,             0.52035,            0.031139,            0.020037,           0.0092243,           0.0093491,           0.0093491,           0.0093491
                  54,            0.024744,            0.021299,           0.0060432,             0.79077,             0.72045,             0.77219,             0.52387,            0.031167,            0.019985,           0.0094167,           0.0093245,           0.0093245,           0.0093245
                  55,             0.02486,            0.021517,           0.0067736,             0.81126,             0.71117,             0.77465,             0.52705,            0.031031,            0.020167,           0.0089091,           0.0092995,           0.0092995,           0.0092995
                  56,             0.02466,             0.02168,           0.0060077,             0.78221,             0.71844,              0.7688,             0.52285,            0.031248,            0.020089,            0.010126,            0.009274,            0.009274,            0.009274
                  57,            0.024577,            0.021018,           0.0059446,             0.77445,             0.73219,             0.77214,             0.52314,            0.030727,            0.020116,           0.0092729,           0.0092481,           0.0092481,           0.0092481
                  58,            0.024445,            0.020949,           0.0060175,             0.77981,             0.72595,             0.77327,             0.52604,            0.030593,            0.020027,            0.009101,           0.0092219,           0.0092219,           0.0092219
                  59,            0.024576,            0.021434,           0.0059729,             0.79677,             0.72545,             0.77632,             0.52517,             0.03099,             0.02044,           0.0088725,           0.0091952,           0.0091952,           0.0091952
                  60,            0.024632,            0.021023,           0.0062826,             0.80678,             0.70427,             0.77128,             0.52773,            0.030734,            0.020221,            0.009159,           0.0091681,           0.0091681,           0.0091681
                  61,            0.024449,            0.021436,           0.0063086,             0.77654,             0.72857,             0.76721,             0.52634,            0.030764,            0.020215,           0.0095023,           0.0091406,           0.0091406,           0.0091406
                  62,            0.024461,              0.0212,            0.006233,             0.77699,             0.73763,             0.77585,             0.53064,            0.030886,            0.020211,           0.0092335,           0.0091127,           0.0091127,           0.0091127
                  63,             0.02461,            0.021762,           0.0064934,             0.81134,             0.70346,             0.77408,             0.52462,            0.030804,            0.019958,           0.0086544,           0.0090844,           0.0090844,           0.0090844
                  64,            0.024649,            0.021358,           0.0059776,             0.78908,             0.71637,              0.7702,             0.52734,            0.030762,            0.020233,           0.0088876,           0.0090557,           0.0090557,           0.0090557
                  65,            0.024075,            0.020694,            0.005884,             0.80339,             0.71415,             0.77374,             0.53149,            0.030568,            0.020214,           0.0091211,           0.0090266,           0.0090266,           0.0090266
                  66,             0.02396,            0.020869,           0.0059557,             0.79077,             0.73019,             0.77942,             0.53651,            0.030582,            0.019885,           0.0090959,           0.0089972,           0.0089972,           0.0089972
                  67,            0.023871,             0.02068,            0.005781,             0.80392,             0.71971,             0.77798,             0.53502,            0.030699,             0.02033,           0.0092126,           0.0089673,           0.0089673,           0.0089673
                  68,            0.023596,            0.020546,           0.0054914,             0.79296,             0.73137,             0.77848,             0.53544,            0.030571,              0.0205,           0.0092512,           0.0089371,           0.0089371,           0.0089371
                  69,             0.02367,            0.020496,           0.0057355,             0.80256,             0.72666,             0.77568,             0.53504,            0.030741,            0.020699,           0.0091983,           0.0089065,           0.0089065,           0.0089065
                  70,            0.023184,             0.02039,            0.005348,             0.79124,             0.73574,             0.78027,             0.53741,            0.030309,            0.020321,           0.0089129,           0.0088755,           0.0088755,           0.0088755
                  71,            0.023439,            0.020338,           0.0057011,             0.80141,             0.71684,             0.77536,             0.53268,            0.030584,            0.020635,           0.0095284,           0.0088442,           0.0088442,           0.0088442
                  72,            0.023257,            0.020249,           0.0057503,             0.80548,             0.71982,             0.77344,             0.53237,            0.030476,            0.020711,           0.0093284,           0.0088124,           0.0088124,           0.0088124
                  73,            0.023185,            0.020163,           0.0054395,             0.79233,             0.72499,             0.77541,             0.53384,            0.030524,             0.02042,           0.0091715,           0.0087804,           0.0087804,           0.0087804
                  74,            0.023251,            0.020024,           0.0055989,             0.80333,             0.72069,             0.77647,             0.53717,             0.03062,            0.020708,           0.0089066,           0.0087479,           0.0087479,           0.0087479
                  75,            0.023049,            0.020058,           0.0053568,             0.80349,             0.72754,             0.77737,             0.54067,            0.030677,            0.020883,           0.0089147,           0.0087151,           0.0087151,           0.0087151
                  76,            0.022956,            0.019935,           0.0052025,             0.80261,             0.72739,             0.77982,              0.5426,            0.030406,            0.020528,           0.0085963,            0.008682,            0.008682,            0.008682
                  77,            0.022752,            0.019707,           0.0053364,             0.81719,             0.71823,             0.77826,             0.53941,            0.030518,            0.020583,           0.0087232,           0.0086485,           0.0086485,           0.0086485
                  78,            0.023055,            0.020066,           0.0059213,             0.79894,             0.73068,             0.77911,             0.53876,            0.030474,             0.02063,           0.0091771,           0.0086146,           0.0086146,           0.0086146
                  79,            0.022711,            0.020135,           0.0052738,             0.82462,             0.71871,             0.78142,             0.54118,            0.030677,             0.02092,           0.0092983,           0.0085805,           0.0085805,           0.0085805
                  80,            0.022677,            0.020057,            0.005429,             0.81417,              0.7182,             0.77817,             0.53873,            0.030423,            0.020908,           0.0088893,           0.0085459,           0.0085459,           0.0085459
                  81,            0.022541,            0.020017,           0.0051228,             0.79817,             0.72454,             0.77805,             0.54006,             0.03041,            0.020703,           0.0093338,           0.0085111,           0.0085111,           0.0085111
                  82,            0.022775,            0.019762,           0.0053414,             0.79127,             0.72725,             0.77742,              0.5365,            0.030557,            0.020778,           0.0089499,           0.0084759,           0.0084759,           0.0084759
                  83,            0.022414,            0.019691,           0.0054787,             0.80353,              0.7244,              0.7791,             0.53906,            0.030581,            0.020657,           0.0088305,           0.0084404,           0.0084404,           0.0084404
                  84,            0.022593,            0.019513,           0.0055056,              0.7922,             0.73199,             0.78145,             0.54426,             0.03059,            0.020896,           0.0091947,           0.0084046,           0.0084046,           0.0084046
                  85,            0.022601,            0.019601,           0.0048763,             0.81436,             0.71748,             0.78143,             0.54326,            0.030359,             0.02094,           0.0091415,           0.0083684,           0.0083684,           0.0083684
                  86,            0.022354,            0.019285,            0.005537,             0.80785,             0.71934,             0.78023,             0.54202,            0.030432,            0.021068,           0.0087434,           0.0083319,           0.0083319,           0.0083319
                  87,            0.022404,             0.01969,           0.0051939,              0.8035,             0.72092,             0.77429,             0.53887,             0.03034,             0.02094,           0.0090843,           0.0082952,           0.0082952,           0.0082952
                  88,            0.022018,            0.019525,           0.0049275,             0.81162,             0.73345,             0.78434,             0.54722,            0.030284,            0.021202,           0.0089312,           0.0082581,           0.0082581,           0.0082581
                  89,            0.021874,             0.01926,           0.0051397,             0.81159,             0.73667,              0.7827,             0.54599,            0.030332,            0.020929,           0.0087146,           0.0082207,           0.0082207,           0.0082207
                  90,            0.022025,            0.019505,           0.0051422,             0.80171,             0.74075,              0.7833,             0.54546,            0.030633,            0.020946,           0.0091227,            0.008183,            0.008183,            0.008183
                  91,            0.021898,            0.019039,           0.0047804,             0.81834,             0.73013,             0.78686,             0.54656,            0.030386,            0.020937,           0.0089907,            0.008145,            0.008145,            0.008145
                  92,            0.021887,            0.019092,           0.0047952,             0.80318,             0.73481,               0.784,             0.54585,            0.030453,            0.021408,            0.009349,           0.0081068,           0.0081068,           0.0081068
                  93,            0.021758,            0.018896,           0.0049942,             0.82144,             0.72039,             0.78385,             0.54741,            0.030634,            0.021584,            0.009517,           0.0080682,           0.0080682,           0.0080682
                  94,            0.021874,             0.01912,           0.0051645,             0.81011,             0.73364,             0.78706,             0.54648,            0.030488,            0.021031,           0.0090807,           0.0080294,           0.0080294,           0.0080294
                  95,            0.021929,            0.018957,           0.0049863,             0.81782,             0.71748,             0.78356,             0.54675,             0.03035,            0.021088,           0.0090115,           0.0079903,           0.0079903,           0.0079903
                  96,            0.021772,             0.01907,            0.005117,             0.82377,             0.71159,              0.7819,             0.54554,              0.0303,            0.021402,           0.0089839,           0.0079509,           0.0079509,           0.0079509
                  97,            0.021795,            0.018954,           0.0050841,             0.80878,             0.72887,             0.78499,             0.54963,            0.030091,            0.021237,           0.0089235,           0.0079112,           0.0079112,           0.0079112
                  98,            0.021983,            0.018786,             0.00468,             0.80911,              0.7402,             0.78769,             0.55077,            0.030169,             0.02116,           0.0087325,           0.0078713,           0.0078713,           0.0078713
                  99,            0.021435,            0.018442,            0.004697,             0.83989,             0.71309,             0.78581,             0.55126,            0.030179,            0.021169,           0.0087417,           0.0078311,           0.0078311,           0.0078311
                 100,            0.021496,            0.018651,           0.0047056,              0.8279,             0.73063,             0.78981,             0.55654,            0.030154,            0.021248,           0.0085864,           0.0077907,           0.0077907,           0.0077907
                 101,            0.021082,            0.018747,           0.0046756,             0.80456,             0.73425,             0.78499,             0.55311,             0.03044,            0.021552,           0.0088416,             0.00775,             0.00775,             0.00775
                 102,            0.021348,            0.018653,             0.00477,              0.8317,             0.71681,             0.78733,             0.55149,            0.030277,             0.02133,           0.0087748,           0.0077091,           0.0077091,           0.0077091
                 103,            0.021197,            0.018426,           0.0047502,             0.80595,             0.73564,             0.78972,             0.55385,            0.030296,            0.021201,           0.0085828,           0.0076679,           0.0076679,           0.0076679
                 104,            0.020904,            0.018481,            0.004744,             0.82417,             0.72331,             0.78696,             0.55242,            0.030393,            0.021221,           0.0088656,           0.0076265,           0.0076265,           0.0076265
                 105,            0.021071,            0.018555,           0.0047102,             0.80517,             0.74456,             0.78816,             0.55388,            0.030301,            0.021329,           0.0088961,           0.0075848,           0.0075848,           0.0075848
                 106,            0.021343,            0.018588,           0.0046821,             0.81249,              0.7309,             0.78659,             0.55271,            0.030195,            0.021456,           0.0089428,            0.007543,            0.007543,            0.007543
                 107,            0.020603,            0.018171,           0.0043482,             0.82789,             0.71897,             0.78646,             0.55416,            0.030233,            0.021402,           0.0088807,           0.0075009,           0.0075009,           0.0075009
                 108,            0.020813,            0.018315,           0.0045417,             0.80688,             0.73843,             0.78768,             0.55385,            0.030276,            0.021524,           0.0087552,           0.0074585,           0.0074585,           0.0074585
                 109,             0.02044,            0.017918,           0.0043181,             0.82289,             0.73018,             0.78881,             0.55398,             0.03028,             0.02164,           0.0088291,            0.007416,            0.007416,            0.007416
                 110,            0.020922,            0.018374,           0.0049089,             0.81434,             0.73276,             0.78637,              0.5534,            0.030202,            0.021348,           0.0089055,           0.0073733,           0.0073733,           0.0073733
                 111,            0.020893,            0.018472,           0.0046863,             0.81913,             0.73319,             0.78737,             0.55271,            0.030269,            0.021412,           0.0089649,           0.0073303,           0.0073303,           0.0073303
                 112,            0.020557,            0.018156,           0.0043403,             0.82747,             0.72419,             0.78592,             0.55408,            0.030426,            0.021592,           0.0091153,           0.0072872,           0.0072872,           0.0072872
                 113,            0.020527,            0.018296,            0.004664,             0.81692,             0.73332,             0.78664,             0.55437,            0.030386,            0.021725,           0.0088855,           0.0072438,           0.0072438,           0.0072438
                 114,            0.020606,            0.017784,           0.0044362,             0.82647,             0.72831,             0.78795,             0.55552,            0.030303,            0.021824,           0.0089578,           0.0072003,           0.0072003,           0.0072003
                 115,            0.020261,            0.017925,           0.0043604,             0.81219,             0.73644,             0.78656,              0.5559,            0.030304,            0.022079,           0.0090542,           0.0071566,           0.0071566,           0.0071566
